12	312
288	735
793	404
196	887
799	383
419	104
381	387
121	143
90	832
650	893
667	165
196	488
29	891
193	668
48	171
226	732
526	32
88	110
903	496
841	245
454	300
356	419
825	497
761	580
403	833
74	907
917	799
408	48
836	550
6	555
711	672
992	127
979	109
592	818
497	853
907	851
427	834
823	824
861	249
670	948
803	244
62	968
24	548
383	100
642	31
989	138
399	562
7	379
993	373
290	273
943	550
266	275
541	99
5	241
370	523
749	507
920	141
196	139
277	330
295	160
790	59
313	490
721	256
920	150
921	528
96	363
536	841
772	223
739	738
744	948
642	312
724	313
155	416
901	933
149	930
860	327
542	109
757	368
125	324
407	547
677	953
224	842
942	635
230	449
395	633
351	502
957	680
408	58
567	422
403	29
67	962
678	665
858	794
281	692
990	223
780	343
478	984
405	320
923	850
536	685
357	790
535	48
258	717
414	101
793	163
789	781
745	900
757	614
136	704
72	204
611	264
769	298
779	668
87	537
379	640
211	140
179	630
393	334
813	796
173	518
487	6
941	758
701	138
265	533
55	902
623	122
194	246
948	506
951	812
123	606
12	369
750	832
601	448
172	433
847	858
671	758
903	365
115	522
962	10
914	735
689	168
954	275
644	20
50	663
610	643
130	329
784	236
514	596
317	504
677	969
657	381
361	28
147	757
329	760
193	473
868	676
460	210
237	325
571	631
802	271
98	235
728	46
783	961
854	160
317	635
32	582
194	505
650	888
857	813
560	148
205	947
224	179
893	95
919	512
133	961
230	132
615	581
662	161
693	692
344	447
844	184
304	764
300	217
713	118
316	975
164	904
182	73
140	287
65	662
143	431
996	293
765	172
8	949
90	821
559	109
910	80
647	0
224	766
695	212
807	354
168	975
464	913
215	52
924	765
900	935
517	636
193	533
305	915
712	113
328	90
525	236
332	356
515	931
236	618
171	986
338	929
39	101
804	468
402	505
555	73
574	959
967	283
184	269
121	593
902	422
870	969
555	438
174	251
232	987
268	343
2	959
817	344
696	212
906	903
994	797
228	414
107	210
918	69
911	855
493	703
196	250
901	950
219	656
149	858
607	721
106	47
665	975
689	141
174	440
469	802
920	840
691	299
485	416
836	999
184	853
173	442
603	790
958	225
194	648
21	292
533	108
653	810
391	899
556	384
870	435
41	336
956	556
437	762
824	270
559	781
796	298
976	951
820	379
18	988
168	586
858	985
709	761
5	210
148	18
244	187
175	895
737	29
427	511
362	5
854	411
361	0
484	48
662	941
679	287
333	474
213	631
48	138
333	677
703	175
527	35
843	43
643	100
817	403
732	118
603	174
184	799
624	310
140	42
357	825
721	447
910	928
776	30
714	169
645	415
725	753
299	95
467	468
682	790
89	412
367	346
324	976
275	579
525	349
842	241
35	24
172	200
386	715
242	523
764	247
162	871
832	971
988	750
306	404
450	579
719	231
156	138
924	737
501	994
54	738
66	180
664	324
635	110
615	801
65	7
351	406
979	557
259	824
228	209
895	246
635	770
709	462
749	524
601	929
104	65
828	589
92	973
399	551
7	144
268	918
420	265
333	903
416	795
899	237
812	735
238	630
752	864
679	288
258	702
540	788
135	209
354	600
344	45
634	204
482	705
554	639
294	2
568	752
233	155
421	218
866	670
110	509
561	575
399	544
692	87
315	844
582	883
515	909
490	316
335	640
791	69
556	416
81	895
363	205
474	219
449	451
92	827
742	69
165	55
136	59
118	913
789	384
349	671
677	204
160	878
474	816
208	479
717	430
150	37
256	840
579	760
6	729
163	894
235	906
979	525
364	800
50	377
567	53
223	504
415	550
603	9
884	469
971	931
278	988
524	267
454	439
456	474
578	743
898	125
740	959
84	227
10	623
311	626
847	246
660	353
139	585
866	484
676	933
623	232
33	879
772	943
267	404
848	839
474	438
960	444
108	339
124	99
834	791
418	371
561	203
712	340
955	364
54	835
529	512
559	288
192	265
181	550
443	495
227	103
263	446
819	895
286	725
778	476
859	762
272	152
623	869
955	625
165	355
850	12
375	670
329	885
94	920
997	322
301	683
590	221
128	627
878	299
11	937
302	511
611	568
967	220
897	924
186	768
16	381
847	441
554	468
235	626
873	216
754	131
699	458
923	468
819	194
814	673
373	923
691	280
511	676
939	170
518	474
422	286
918	969
106	381
358	403
463	847
484	449
934	900
167	34
338	469
316	437
28	271
515	778
155	493
566	841
611	167
716	384
856	531
757	410
553	896
91	839
744	729
807	105
563	494
754	397
762	105
980	986
636	315
812	979
163	807
996	615
944	729
889	635
630	844
245	216
225	446
712	525
308	851
24	504
120	521
552	888
882	616
648	312
605	35
166	19
425	222
227	108
441	649
344	787
791	598
931	359
772	418
76	485
125	249
482	533
248	394
881	487
365	371
846	20
852	567
726	842
965	775
132	129
118	365
502	909
686	913
49	638
461	31
398	148
925	446
928	476
774	869
65	351
12	936
908	138
494	731
629	799
414	542
963	767
555	257
757	77
341	720
605	224
297	757
181	786
33	154
757	456
131	328
625	129
83	416
277	863
858	565
778	602
583	403
597	573
578	472
304	908
416	794
850	19
538	346
286	681
322	504
427	675
487	203
